appid,voted_up,review
730,1,재능기부좀 재능부럽다 재능무섭네 재능이밉다 세상이밉다 기부좀 4 444 죽으세요 죽어 죽여 죽으세용 후앵 우앵 우왕 헤에 우홋 잘해서좋겠다 사망하여라 뿌에에엥~ 나만않되 나도재능좀 시간기부좀 오늘의허접 오늘의무능 오늘의몸부림 오늘의우앵 오늘의붕슨 그리살아라 그리사세요 그리죽어라 왜나는못해 무슨기분일까 죽을까요 유서쓰는중 안녕히재능기부좀 재능부럽다 재능무섭네 재능이밉다 세상이밉다 기부좀 4 444 죽으세요 죽어 죽여 죽으세용 후앵 우앵 우왕 헤에 우홋 잘해서좋겠다 사망하여라 뿌에에엥~ 나만않되 나도재능좀 시간기부좀 오늘의허접 오늘의무능 오늘의몸부림 오늘의우앵 오늘의붕슨 그리살아라 그리사세요 그리죽어라 왜나는못해 무슨기분일까 죽을까요 유서쓰는중 안녕히재능기부좀 재능부럽다 재능무섭네 재능이밉다 세상이밉다 기부좀
730,1,"russia=suka bulyt china=chaonima english=fxxk you bixh let'go"
730,0,중국인을 모두 말려죽어야한다. 더스트에서 매크로 계정으로 가득 채운다음 남은 사람들을 강퇴투표하며 작업장으로 쓴다. 핵쟁이 닉네임은 그냥 랜덤코드닉으로 쓰는데 안봐도 중국인이다. 걸러라
730,1,Greatest Game Of All Fucking Time
730,1,"딱히 리뷰 할 거리가 없는 명작, 카운터 스트라이크 2입니다. 오래 되었지만, 아직도 많은 사람이 플레이하고 즐기는 FPS입니다. FPS를 처음 하는 사람보단, 이미 FPS를 즐기고 있거나 해보았던 사람들에게 추천해주고 싶은 작품이에요.  기본적으로 상당히 어려운 축에 속합니다. 허나, 맛을 들이면 자주 찾게 되는 게임이죠."
730,1,"처음 FPS를 입문할때는 이게임은 비추천 다른 FPS게임들로 총게임에 익숙해진 후 입문을 추천, 게임에 핵이 존나 많아, 카스2를 주로 하는사람들은 사설서버를 즐기는데 사실상 이용가능한 사설서버가 중국서버밖에 없어 그냥 한국사람이 하기 좀 힘든 게임, 그래도 취향 맞으면 재밌음"
730,0,Güzel oyun ama 3 oyuncudan 2 si hile o yüzden fazla kasmayın...
730,1,https://steamcommunity.com/id/stewie2ktv/inventory/#730_2_14897275179
730,1,프리미어로 돌리면 핵도 별로 없는듯   진짜 재미있는 FPS게임.. 스킬 알아야하는것도없고 그냥 단순히 에임대결
730,0,몇판 플레이는 안했지만 매판은 아니지만 가끔 하지말라고 쳐이야기 해도 이해 안돼는 행동을 하는 팀원들이 있어서  내가 이 저능아 팀들을 이끌고 싶다 하면 추천하고 아니면 하지마셈 ㅇㅇ   한국인들은 괜찮은데 외국인 중에 중국인과 러시아 잼민이들이 꽤 말을 안들음.  내가 만약 그걸 즐긴다하면 하면 됨 ㅋ
730,0,일반게임 돌리면 ㅉㄲ들이 매크로 돌리고 난 투표로 추방당함 ㅋㅋㅋㅋ 입문하고 싶어도 계속 매크로 만나는데 뭐 어떡하라고
730,1,"큰 장점이 무료임, 사람도 많음 큰 단점이 무료, 사람 많은만큼 핵도 많음  정통 fps 좋아하면 스팀에서 이 게임만한건 없음"
730,1,fucking so many cheaters no use of ban cant even work on cheats
730,0,"game full of cheaters, valve never works on them.This game is unfair always"
730,1,"https://steamcommunity.com/id/fallencs/inventory/#730_2_14897275164  https://steamcommunity.com/id/fallencs/inventory/#730_2_5991964375  https://steamcommunity.com/profiles/76561197973845818/inventory/#730_2_573158605"
730,0,짱개들존나많고 말존나많고 이유없이 강퇴하고 좀 잘하면 한국인은 핵핵거리고 에휴시발버러지같은걸레새기들
730,0,ххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххххх
730,1,최근에 마땅히 할게임이 없어서 시작했는데 바로 즐겨찾기 추가해버렸다
730,1,"매우 재미있는 게임으로써 나의 인생 게임이나, 핵이 너무 많아서 게임하기가 힘듬 정상적인 게임을 하고싶음"
730,1,https://steamcommunity.com/id/donkgojo/inventory/#730_2_41640713724
730,0,짱꺠 새끼들 핵쓰는거하고 작업장도 못 없애는 차이나머니 마려운 밸브면 개추 ㅋㅋㅋ
730,1,green green what's your problem
730,1,많은 플레이어들이 있고 다들 외국인들이지만 재밌게 소통이 가능하며
730,1,"26살의 노장의 나이에 뒤늦게 이게임을 시작했습니다..   좀더 젊었을 때 이런 게임을 했더라면,, 더 좋았을 걸 합니다."
730,1,"Steep learning curve only came back because I played og CS and wanted to see if this was good.  Huge cheating problem though"
730,0,"병신게임. Shit game. 하지마라. 하지말라면 그냥 하지마라."
730,0,프라임 괜히샀다 프라임 안사고 게임했을때가 더 재밌었다
730,1,"핵잡아주세요 제발 부탁이에요. 저 너무 지쳐요... 😢"
730,1,"게임 자체는 정말 재밌고 외국인들도 많아서 재밌다. 근데 한국인 유저가 별로 없고 핵 유저가 진짜 너무 많음. 킬뎃이랑 상관없이 리플레이 영상 보면 핵 유저 엄청 많음. 그리고 고인물도 많아서 유입하기 어려울 듯  cs2 itself is really fun and there are many foreigners. but there are not many korean players but so many cheaters. regardless of their kill/death scores, there are so many cheaters as i checked demo. and its kinda difficult for newbie to start this game bc there are many pro players."
730,0,"절대 유입되면 안되는게임 고이다 못해 썩었고 핵 비매 너무 많음 게임 자체는 재밌는데 한국에서 유명하지 못해 아쉬울뿐.."
730,0,작업장 해결안됌니다 프라임 경쟁에 핵이 나옴니다 작업장은 해결해 주셔야 함니다 ... 제발
730,1,이 게임을 오래하면 영어가 늘고 스팀지갑에 돈이 많아져요
730,0,프라임 구매 후 부터 작업장만 잡힌다  캐쥬얼 / 무기레이스 등등   프라임 구매 전엔 사람들과 재밌게 했었는데 구매 후 맨 작업장만걸리니까 원하는 맵도 못하고 원하는 카테고리의 게임도 못하고 심지어 아무도 없는 봇들만 있는 방이 잡혀서 하다보면 작업장 애들이 몰려와서 지들 작업캐릭빼고는 다 강퇴 시킨다.  돈 쓰기 전엔 나름 쾌적하고 사람들과 즐겁게 어울려 했는데  되려 돈 쓰고 나서 불쾌한 경험만 쌓임.  경쟁할때야 좋겠지만 프라임 구매한 사람은 경쟁만 즐겨야하는건 아니잖슴?   왜 돈을 내고도 내가 원하는 게임을 못하는지 모르겠음 진짜 화가 남. 작업장 방만 걸리는것도 뭣같은데 걔네들이 방에 우루루 들어와서 강퇴시키는게 더 뭣같음  이게 무슨 세계적인 게임이라고 핵도 못잡아 작업장도 못잡아  이러면서 뭔 돈을 벌어들이겠다고 프라임이나 무기고 패스나 상자 열때 열쇠를 파는거임?   유저들이 쾌적한 게임을 할 수 있게 해주고서야 돈팔이나 하지
730,1,nerf negev and delete a fkin xm1014
730,0,VAC aint doing nothin fcking dissapointing
730,1,vac 일 안함...프라임 계정이여도 핵만나는건 여전하고 안티치트 업그레이드 했다지만 업그레이드한 티가안남 그래도 재미는 있음
730,1,https://steamcommunity.com/id/donkgojo/inventory/#730_2_41640713724 https://steamcommunity.com/id/donkgojo/inventory/#730_2_42600486331 https://steamcommunity.com/id/donkgojo/inventory/#730_2_40593868218
730,0,有工作室霸占坑位乱踢人，匹配都是带头大哥带一众小弟，外挂问题屡禁不止，因为装备箱科技排骨党横行，如果想玩积分赛那么要等升级到10级。如果忽略以上问题还觉得可以那就花钱如果只是想试一试最好过1个月在买游戏。就水平来说比当年的浩方恐怖太多了，基本爆头起步。由于糟糕的匹配机制外加排骨党严重拉低新手的游戏体验，而且水平梯度非常的跨站，这不像打王者你打个酱油也能混。
730,0,"프라임을 처사니 핵쟁이가 사라졌다고 안심을 할수없다, 그 뒤에는 좆같은 Exp 상자 작업장이 남아있기 떄문이지"
730,1,"[h2]내 인생 Top 3 안에 드는 FPS 게임[/h2]  유명 게임 시리즈인 Counter Strike 입니다. 말해 뭐합니까? 당장 플레이 하세요. 한국 FPS 정서와는 좀 안맞긴 하지만, 발로란트 하시던 분이라면 쉽게 적응하실 수 있을겁니다. VALORANT 보다 훨신 재미있습니다.   [b]최고의 장점! 한국인이 많이 없습니다. 그렇다 보니 정말 클린합니다.[/b] 게임하다 보면 몇몇 한국 유저분들이 욕을하시고, 민폐를 끼치시는 분이 계시긴 합니다만, 그래도 혜자입니다.  단점이라 할것도 없습니다. 그냥 플레이하세요. 근데 프리미어는 따로 구매하시는걸 추천드립니다. 핵쟁이가 거의 없어서."
730,1,FPS 게임 중의 명작. 모든 것이 완벽해 잘만든 게임이다. 나에겐 인생게임
730,1,프리미엄 사고 몇주만 돌리면 2만원 복구하고 다른겜 살 돈도 모임
730,1,발로 영정떄매 카스시작했는데 발로가 그립네요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
730,1,"FPS의 정석 옛날에 스포하던 생각나서 시작했다가 못벗어나는중"
730,1,"Iha hyvä, pelattii tossa ismo lekolan kaa pari mätärii, vittu ku vaimo mäkättää vieressä nii ei osu. vai mitä ismo:D"
730,0,"This game is trash. No Anti-cheat, and so many player get banned unfairly."
730,1,"발로와는 비슷하지만 완전히 다른결의 재미와  타격감, 게임의 흐름이 정말 매력적이고 무엇보다 에임 하나로  모든걸 커버치고 게임을 승리로 가져올수 있다는게 매력적임  발로는 에임이 지려도 온갖 엿같은 스킬들이 남무하고 정신없음 하다하다 팀원들까지 개지랄남 그에 비해 카스는 정말이지 극락임 (개같은 중국인만 제외한다면)"
730,0,every games met cheaters .trash game dont download
730,0,54hr. 프라임사도 핵망겜임  140hr. 오래하니까 좀 줄어든거같긴한데 그래도 매일 만나는중
730,0,https://steamcommunity.com/profiles/76561198386265483/inventory/#730_2_41640713724
730,1,ㅋㅋㅋ 중국인이 바닥에 총을 쏘니까 상대 머리가 동시에 깨지는 게임 재밌는데 서버 바꾸고 해야할듯
730,1,시스템도 여려게임들과 비교해 유저들을 위한 부분이 정말 좋고 게임 자체도 너무 재밌다
730,1,"전략이면 전략, 피지컬이면 피지컬 그 어떤것으로든 이길수있다면 장땡인 게임."
730,1,칼스킨을 아주 저렴할때 사시고 스팀장터에서 비싸게 파시면...  스팀 지갑이 든든해집니다.   카스만큼 스킨 시장이 완벽한 곳은 없다고 장담합니다.   돈을 벌고싶으시면 배그하지말고 카스하세요. !!!
730,1,제에에에엔장 러시아형들 제발 입 좀 닥치고 게임하자 시이발 솔직히 5 16 8 은 선 씨게 넘었잖아~~ 잘하고 입 털던가~~
730,1,"이 게임을 하다보면 여러 사람들을 만날 수 있습니다. 아저씨, 잼민이, 학생, 정신병자, 핵쟁이, 중국인, 러시안. 등. 여러 인종과 교감하기 좋은 게임입니다."
730,0,"Doing great => cheaters as enemies Doing $hit => dog team, good enemies  fucking idiot game"
730,1,https://steamcommunity.com/id/kisats/inventory/#730_2_42723601293 https://steamcommunity.com/id/jambozx/inventory/#730_2_40546155344 https://steamcommunity.com/id/tirone/inventory/#730_2_14750590026
730,1,짱깨와 러시안의 합작. 경쟁 돌리는 매판 보이스챗으로 싸우는게 본게임
730,1,"옆에 봐줘 아니 앞에 아니 오른쪽 아니 그 뭐더라 니 오른쪽 왼쪽 모르냐"
730,1,옛날에는 러시아놈들이 많았는데 이제는 중국새끼들 존나 많아졌음
730,0,핵쟁이도 너무 많구요 게임 할만하면 강퇴시키네요? 돈 지른게 아깝습니다.
730,0,"Bots doing to farm XP in DM. if you join, bot will insta-kick you and banned from the server. It still does NOT fix over a YEAR and less massive update than CSGO worst than CSGO"
730,0,"if u decide to copy faceit anticheat, i might do videos on this game"
730,0,VAC가 무고밴 때려서 안해요.   ⠀⠀⣠⣴⣻⣻⣻⣻⣻⣻⣻⡾⣷⡄⡀⠀⠀⠀⠀⠀ ⠀⠀⣼⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣷⢿⣒⡀⠀⠀ ⠀⢠⣻⡿⠁⠀⠀⠀⠈⠉⠀⠈⠉⠉⢹⣻⣻⣻⠀⠀ ⠀⢸⡿⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣻⣻⡇⠀⠀ ⠀⠸⠃⠀⠀⣀⣉⣦⠀⢠⣞⠋⠀⠂⠀⠘⣻⡇⠀⠀ ⠀⠀⠁⠀⠀⠠⠒⠁⠀⠈⠉⠉⠋⠉⠀⠀⡻⠀⠀⠀ ⠀⠀⠀⠀⠀⢠⠖⠀⠀⠀⢰⡄⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠆⢴⣧⣈⠙⠿⠟⢉⣾⣷⣴⣻⠀⠀⠀⠀⠀ ⠀⠀⠀⠲⣼⠋⠉⢫⣭⣻⠟⡿⣻⣻⣻⢗⠀⠀⠀⠀ ⠀⠀⠀⠀⠙⢧⣀⠈⠀⣀⣠⣼⣻⣻⠟⢸⣷⣄⠀⠀ ⠀⢀⣠⣴⡾⠈⠟⣻⣻⣻⣻⠿⠟⠁⢠⣻⣻⣻⣻⣶ ⣾⣻⣻⣻⡇⠀⠀⢐⡬⠋⠁⠀⠀⢠⣻⣻⣻⣻⣻⣻ ⣻⣻⣻⣻⠀⢠⠈⣻⣆⠀⠀⠀⢀⣾⣻⣻⣻⣻⣻⣻ ⣻⣻⣻⠇⠀⢈⢸⣻⠋⠁⠀⠀⣼⣻⣻⣻⣻⣻⣻⣻ ⣻⣻⣻⠀⠀⣼⠙⠻⠀⠀⠀⣸⣻⣻⣻⣻⣻⣻⣻⣻ ⣻⣻⡇⠀⣨⡷⢉⠈⠀⠀⢰⣻⣻⣻⣻⣻⣻⣻⣻⣻
730,0,핵 안 잡음?? 일하는거맞나싶네 신고를 몇번했는데 뭐함? 일 좀 해라 ㅉㅉ
730,0,Biggest Trash Game Rage Cheaters only and Valve dont do anything. Vac 3.0 = Shit. 5 stack Bunnyhopping aimbot Wall Headshot 12 Roundsa nothing happend. Shit Game
730,0,정신이 잼민이인 어글리 코리언들과 중국인의 환장적인 콜라보
730,0,"캐쥬얼모드는 중국인들 다 작업장이라 게임이안됩니다.. 무료로 즐기시는게 나을것같아요  프라임 구매하지마세요~"
730,1,이 게임 기반으로 실제 전장에서 그대로 싸우는 불쌍사가 발생하지 않았으면 합니다
730,1,제가 너무 못해서 재미는 없지만 친구가 재미있게 해줘서 할거에요 히히히히히히히히히히
730,1,이 게임은 배그를 바탕으로한 레전드 편리한 게임입니다 단점은 핵이 많다는 것 입니다
730,1,meet chinese player->i say free tibet->chinese player use hack->gg
730,1,",;fcs,p[[ ,[ o ,,\o,vzxd,vzvxzd gdl dfs,sfzp,;dsp,dfs,fdsem,efk,=rgtkfdxgm,o-"
730,0,핵존나많아. 투시는아닌거같은대 에임핵쓰는얘새끼들 좋나많네
730,1,부계까지 합치면 300시간정도 했는데 느낀점은 역대급입니다
730,1,더 이상 다듬을 필요가 없을만큼 완벽에 가까운 FPS 게임. 체스를 두는 것 처럼 단순하면서도 전략적인 게임플레이가 손을 놓지 못하게 만듭니다.
730,1,"발로란트는 멈춰서 쏴야하는 거 엄청 불편했는데 카스는 확실히 근본이 있어서 그런지 쏘는 게 더 편해서 좋음. 어느정도 움직이면서 쏴도 맞출 수 있음."
730,1,"CS2 is one of the best FPS games, offering a familiar yet refreshing experience for longtime fans while remaining an appealing title for new players. Future updates are highly anticipated. 카스2는 최고의 FPS 게임 중 하나로, 오랜 팬들에게는 익숙하면서도 신선한 경험을 제공하며, 새로운 플레이어들에게도 매력적인 타이틀로 남아 있습니다. 향후 업데이트가 매우 기대됩니다."
730,0,일단 저는 초보 뉴비임을 밝힙니다... 프라임 계정 구매한 것을 후회중... 죄다 썩은물 밖에 없음 어느 정도 매칭 수준이 맞아야 재미 느끼고 꾸준히 하지 이건 뭐 캐주얼도 숨막히니 프리미어는 생각도 못함 수작 FPS 게임인 것은 인정하나 진입장벽이 너무 살벌해서 추천하고 싶지 않음
730,1,"젠장 또 대상혁이야.이 게시글만보고 자려고 했는데, 또 대상혁을 보고말았어.이제 나는 외쳐야만 해...  외치면 잠이 확 깨버릴걸 알면서도, 나는 외쳐.  그것이 대상혁을 목도한 자의 사명이다.  오늘부로 대삭혁지지를 철회한다 오늘부터 지지관계에서 벗어나 대상혁과 나는 한몸으로 일체가 된다 대상혁에 대한 공격은 나에대한 공격으로간주한다 세상에 70억명의 대상혁 팬이 있다면, 나는 또한 그 들중 한명일것이다.  세상에 10억명의 대상혁 팬이 있다면, 나는 또한 그들 중 한명일것이다.  세상에 1억명의 대상혁 팬이 있다면, 나는또한 그들중 한명일것이다.  세상에 천만명의 대상혁 팬이 있다면,나는 또한 그들 중 한명일것이다.  세상에 만명의 대상혁 팬이 있다면, 나는또한 그들 중 한명일것이다.  세상에 천명의 대상혁 팬이 있다면, 나는 또한 그들중 한명일것이다.  세상에 백명의 대상혁 팬이 있다면, 나는 또한 그들 중 한명일것이다.  세상에 열명의 대상혁 팬이 있다면, 나는 또한 그들 중 한명일것이다.  세상에 한명의 대상혁 팬이 있다면, 아마도 그것은 나일것이다.  세상에 단 한명의 대상혁 팬이 없다면, 그것은 이세 상에 내가 존재하지 않다는것이다."
730,1,이 게임을 오래하지는 않았지만 재미 보장은 확실한 게임인거 같습니다 fps류를 좋아하신다면 이게임 해보시는것도 좋을거같습니다^^
730,1,https://steamcommunity.com/profiles/76561198113666193/inventory/#730_2_30625055369
730,0,have you guys ever fucking  palyed in asia server? 99% chinese cheater reporting ongoing match not worked   what a completely mess fucking idiot valve  FIX VAC fucking dipshit assholes VALVE
730,1,"그냥 하셈 못하든 잘하든 초딩때부터 하던 90년대 20대 후반 30대 초중반은 그냥 해라 일단 1.6 못살릴거면 그냥해라"
730,1,"인생 10년을 헛으로 날린 게임 하지만 연습하면 이길수 있다라는걸 알게 해준 게임"
730,1,Best of the best game ever) <3
730,0,bring csgo back. why server is so much laggy? i can't even enjoy this game with 30% loss.
730,1,세계적인 대회에 참가하면 핵이없습니다 세계적인 선수가 먼저 되세요
730,1,"게임은 다 좋고 재밌는데...  아니 밸브 성님들아 해상도 버그 때문에 게임이 안켜지고 다른 창들 세팅해놓은거 다 망가짐 빨리 좀 고쳐줘요 제발"
730,1,"언어의 장벽이 감사한 순간이 문득 찾아올 수 있음 언어의 장벽이 원망스러운 순간이 문득 찾아올 수 있음"
